Tweet,Polarity,Subjectivity
RT @JoeBiden: Stacey Abrams achieved in a matter of minutes something Donald Trump failed to do in over an hour -- to embrace and give voic…,-0.5,0.3
"RT @jguaido: El Presidente Donald Trump (@POTUS), en su discurso del estado de la Unión, destacó la importancia que para la causa de la Lib…",0.0,0.0
"There a swell in support for Joe Biden to run against Trump in 2020. He's an old white man, despite his record &amp; ap… https://t.co/63qGZPjdTQ",0.05,0.1
RT @SenFeinstein: BREAKING: New GAO report shows President Trump spends tens of millions of dollars to travel to Mar-a-Lago at taxpayer exp…,0.13636363636363635,0.45454545454545453
"RT @krassenstein: ""I’m so sick of this mothef**ker. F**k him &amp; every single person who continues to support him and his dangerous administr…",-0.4619047619047619,0.6571428571428571
"RT @mitchellvii: Since Democrats took control of the House, the % of Americans who feel the country is headed in the right direction has dr…",0.2857142857142857,0.5357142857142857
"RT @RepAdamSchiff: Last night, Trump suggested that congressional oversight of his administration will hurt our economy.

That’s false. But…",-0.20000000000000004,0.3333333333333333
"RT @MoveOn: In just 10 minutes, @StaceyAbrams delivered a powerful rejection of Trump's meandering and bigoted 80+ minute speech. https://t…",0.3,1.0
"RT @Newsweek: Almost a third of Trump voters think blackface is acceptable for a white person to do, poll shows https://t.co/Z16C2tr5IZ htt…",0.0,0.0
"RT @riotwomennn: Finally, the survivors of school gun violence have a hearing in Congress.

What happens?

Bizarre, pathetically weak Trump…",0.00833333333333334,0.7416666666666667
Newly unearthed footage shows Donald Trump ‘meeting with Russians in Moscow in 1995’ https://t.co/pMMPRAMm8o,0.13636363636363635,0.45454545454545453
"RT @DerekCressman: California Rep. Adam Schiff (D) declared President Trump ""the greatest threat to our Republic and its democracy today.""…",1.0,1.0
"RT @senatemajldr: As I’ve said time and time again: Mindless obstruction is unacceptable. 
The only way this divided Congress will be able…",-0.1,0.95
"RT @ACTBrigitte: Governor Cuomo has been in office since 2011, but of course he is going to blame President Trump (who has been in office s…",0.0,0.0
"RT @GOPChairwoman: Nearly 2/3 of voters in DEM-held congressional districts are backing @realDonaldTrump’s position on border security.

It…",0.1,0.4
